,train_loss,train_acc,val_loss,val_acc
0,0.6091481768393584,0.8071198298923109,0.7665737895969722,0.8196159122085047
1,0.4215539602538638,0.8713903559914947,0.5111132755528098,0.8401920438957475
2,0.3693126030677679,0.8815419438918993,0.492767113619912,0.8628257887517146
3,0.33420808566181626,0.8901159201591331,0.5795799663829501,0.8329903978052126
4,0.31142729681267056,0.8934083270457508,0.5867546886724352,0.8436213991769547
5,0.28591569093562536,0.9037656903765691,0.6539610579548549,0.8371056241426611
6,0.27158293538488015,0.9067837300226353,0.7099775802778445,0.8425925925925926
7,0.2446658047345025,0.915357706289869,0.9386270320993454,0.8340192043895747
8,0.23301363783867501,0.9202277248096578,0.6976315972723568,0.8213305898491083
9,0.15293886764056153,0.9496536113588039,0.6830292931171479,0.8429355281207133
